Aar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.阿勒河(位于瑞士中部,亦作Aare)"
aAu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Amateur Athletic Union (of the United States)
Ab,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[军] Airborne,空运 (历法)阿布月(即犹太教历5月)"
ABa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.毛织物,(阿拉伯式)长袍"
Abandon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.放弃,遗弃;n.放任,狂热"
Abandoned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.被抛弃的,自甘堕落的,没有约束的,放荡的"
ABB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.横丝,纬纱,劣质羊毛"
abba,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.神父
Abbr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,缩写(abbreviation)
abbreviate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"v.缩写,缩短,简化,简写成,缩写为"
abbreviated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.简短的,仅可蔽体的,小型的"
Abbreviation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.缩写,缩写词"
ABC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.字母表,基本知识 美国广播公司 澳大利亚广播公司;automatic brightne"
ABD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.准博士
Abdicate,权限,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"v.退位,放弃(职位,权力等)"
Abdication,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.退位,让位"
abed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adv.在床上,卧病在床"
abel,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.亚伯
Aberration,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.失常
aBet,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.教唆,煽动,帮助,支持"
